Adam's Way, アダムの道
Darkgryphon Straits, ダークグリフォン海峡
Apis Meet, アピス・ミート
Gardiner's Rock, ガーディナーの岩礁
Point Livingston, リビングストン岬
Boreal Reach, ボレアル・リーチ
Puckeridge's Lookout, パッカーリッジの見張所
Johannesson Town, ヨハネッソン・タウン
Odinson Straits, オディンソン海峡
Censor's Arch, センサーズ・アーチ
Andergard Harbour, アンダーガード・ハーバー
Pale Wastes, ペイル・ウェイスト
Codex, コーデックス
Whither, ウィザー
Carnelian Coast, カーネリアン・コースト
Port Carnelian, ポート・カーネリアン
Dybala Town, ダイバラ・タウン
Rolias Bluff, ロリアス急崖
Librarian's Grotto, 司書の石室
Rainer's Vortex, レイナーの渦
Velten's Vortex, ヴェルテンの渦
Chelonate, キェロネイト
Sachatown, サーシャタウン
Schabelport, スチャベルポート
Pourzia's Reef, パウジアの岩礁
Tusler's Channel, タスラー海峡
Gant Pole, ギャント・ポール
Corsairs Forest, コルセアズ・フォレスト
Gaider's Mourn, ゲイダーの嘆き
Bournvadus Pillar, バーンバダス・ピラー
Massey's Shaft, マッセイの立坑
Eeken Rock, イーケンの岩礁
Patrick's Lot, パトリックの取り分
Crying Heights, 慟哭の高地
Becker Bight, ベッカー湾
Andromeda's Rocks, アンドロメダの岩礁
Rubenach Grotto, ルベナッチ洞穴
Port Addey, ポート・アディー
Bubel's Thicket, ビュベルの茂み
Cumaean Canal, クーマエ運河
Giannotti Harbour, ジャンノッティ・ハーバー
Albertine Gates, アルベルティーン・ゲート
Hekaterine's Arch, ヘカテリーネ・アーチ
Dawn's Edge, ドーンズ・エッジ
Grand Geode, 大晶洞
Dawn Machine, ドーン・マシン
Zelo's Town, ズィーロ・タウン
Runeshmi Port, ルーンシュミー港
Corkery Bay, コーカリー湾
Barnsmore Gap, バーンズモアの海隙
Castle Clare, クレア城
Hodgerton's Bluff, ホッジャートン急崖
Demeaux's Gate, デミオー・ゲート
Demeaux Island, デミオー・アイランド
Bonny Reefs, ボニーの岩礁
Iron & Misery Co. Funging Station, アイアン＆ミザリー社・ファンギング・ステーション
Moody's Light, ムーディーズ・ライト
Purewal Point, ピュアウォル岬
Phosgene Bleaks, ホスゲン・ブリークス
Empire of Hands, エンパイア・オブ・ハンズ
Port Stanton, ポート・スタントン
Ash Isthmus, トネリコ地峡
Torry Point, トーリー岬
O'Keefe's Drift, オキーフス・ドリフト
Frostfound, 氷結城
Sycamore Arch, シカモア・アーチ
Stoddard's Haven, ストッドダルト・ヘイヴン
Achlys Abyss, アクリス・アビス
Dathooley's Rage, ダスーリーの猛威
Brite, ブライト
Teneb, テネブ
Saviour's Rocks, 救い主の岩礁
Arntzen Deep, アルンツェン海原
Wreck of the Nocturne, ノクターン号の残骸
Nativity, ネイティビティ
Iron Republic, アイアン・リパブリック
Mercurius Deep, 水銀海原
Cugel's Bluff, キュゲル急崖
Adam's Doom, アダムの破滅
Van Horn Harbour, ヴァン・ホーン・ハーバー
Myceligaea, ミセリギーア
Uttershroom, アターシュルーム
Wreck of the Mikko, ミッコー号の残骸
Palmerston's Reach, パーマーストン・リーチ
Duggan's Maw, ドゥガンの腹腔
(Mt?.|Mount) Palmerston, マウント・パーマーストン
Port Palmerston, ポート・パーマーストン
Ambrose Point, アンブローズ岬
Irem, アイレム
Carlisle's Haven, カーライル・ヘイヴン
Ruegsegger Straits, リュエグスエッガー海峡
Stryketon, ストゥリケトン
Nablus Reef, ナブルスの岩礁
Weaver's Rift, 織り手の裂け目
Principles of Coral, プリンシプルズ・オブ・コーラル
Port Cecil, ポート・セシル
Dow's Ait, ダウの小島
Aphotic Quills, 無光棘
Bidmead Reefs, ビッドミードの岩礁
Brock's Reef, ブロックの岩礁
Scott's Reef, スコットの岩礁
Wreck of the Emperor Wolfgang, エンペラー・ウルフギャング号の残骸
Chatranic Lobe, チャトラニック・ローブ
Regal Complexus, リーグル・コンプレクサス
Errant's Gyrus, エランツ・ギラス
Noctic Lobe, ノクティック・ローブ
Promised Sea, 約束の海
Fathomking's Hold, ファザムキングの砦
Lorkins Port, ローキンズ港
Luckwright's Reef, ラックライトの岩礁
Elifaus Rift, エリファウスの裂け目
Rattsey, ラットセイ
Nuncio, ナンシノウ
Geryk's Scalpel, ゲリクス・スカルペル
Finknottle Vortex, フィンクノットルの渦
Skylar's End, スカイラーズ・エンド
McMaster's Haven, マクマスターズ・ヘイヴン
